	selection	cdr_title_num	cdr_track_num	composer_name	artist_name	track_name	track_id	popularity	year_rec	danceability	energy	valence	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	tempo	norm_energy	norm_valence	quadrant
1092	mid_east	KDX0907	KDX0907-0001	Fawzy Al-Aiedy	Adel Shams El Din	Nahawend	3l702UAcms8Ekp8m0TEdhB	1	                         2000-01-24	0.513	0.231	0.187	7	-14.392	0	0.0849	0.561	0.904	0.12	147.193	-0.843176348763324	-1.02574356497485	3
1093	mid_east	KDX2651	KDX2651-0005	Rahim AlHaj	not found	A Gift from a Sufi Soul	4TIB1KsGYbx1nogXgeGLEJ	7	                         2018-04-27	0.922	0.282	0.399	9	-11.834	0	0.0457	0.827	0.909	0.0703	104.987	-0.558938137445658	-0.126401011128058	3
1094	mid_east	KJX1482	KJX1482-0001	Munir Bashir	Omar Bashir	Fôg El-Nakhel	0jEJtvXKKMiCbPM4oxhagq	11	                         1998-01-01	0.53	0.247	0.361	5	-14.875	1	0.0794	0.816	0.771	0.0965	124.64	-0.754003576585233	-0.287603921723238	3
1095	mid_east	KJX1730	KJX1730-0007	Naseer Shamma	not found	Ughniya'irâqiyya	3TdWv4oZvTiDsFb71RryPq	7	                         1999-01-01	0.503	0.182	0.123	0	-17.709	1	0.0787	0.884	0.748	0.686	126.654	-1.11626796355873	-1.297243203872	3
1096	mid_east	KJX2708	KJX2708-0009	Nouna El Hana	not found	Atfe' Lada Al Qalbi	3Ter5oa5CrXYIlznClc0x5	0	                         2000-01-01	0.544	0.223	0.265	7	-12.416	0	0.0364	0.883	0.00606	0.265	107.631	-0.887762734852369	-0.694853380068955	3
1097	mid_east	KJX2199	KJX2199-0001	Ahmed Mukhtar	Sattar Al-Saadi	Souq Baghdadi	5OIqSHFKlzUG27QGq6ULaX	0	                         2018-10-26	0.778	0.347	0.84	1	-23.729	1	0.0565	0.669	0.795	0.0661	105.963	-0.196673750472163	1.74440118814758	4
1098	mid_east	KJX2504	KJX2504-0001	Hassan Falih	Alaa Majeed	The 2 Rivers	5GKHWfGUS5JjAESQ0hDakN	1	                         2005-01-01	0.772	0.359	0.909	5	-12.036	1	0.0369	0.791	0.946	0.106	131.987	-0.129794171338594	2.03711173633357	4
1099	mid_east	KJX2504	KJX2504-0003	Alaa Majeed	Shaker Hassan	Iraqi Cafe	38TXeQcp7uFec9f3K0RxXs	8	                         2005-01-01	0.602	0.283	0.731	5	-13.072	1	0.0395	0.898	0.806	0.0948	100.007	-0.553364839184527	1.28200336565088	4
1100	mid_east	KJX2504	KJX2504-0014	Shaker Hassan	Ahmed Mukhtar	Segah	4yQj1wnWBzGWAjvZ9v6v9P	0	                         2005-01-01	0.555	0.34	0.719	1	-14.072	1	0.0784	0.858	0.891	0.0869	93.718	-0.235686838300077	1.23109718335767	4
1101	mid_east	KJX4471	KJX4471-0002	Ahmed Mukhtar	Mohammed Amine Kalai	My Star	5SJe5crdWisLKck9iL1V5l	0	                         2019-03-29	0.931	0.32	0.897	0	-14.944	1	0.0949	0.916	0.902	0.0845	120.051	-0.347152803522692	1.98620555404035	4
1102	mid_east	JE44666	JE44666-0004	Joce Mienniel	not found	Caravan of Horses	1RmBztBCZbLt8OIqbtK6gF	1	                         2018-11-09	0.447	0.655	0.607	1	-10.177	1	0.0583	0.136	0.499	0.0849	99.195	0.652043255116372	0.518913907892819	1
